Model,Type,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
CAT_CAT,Delta,23.7747,13.7824,9.9109,6.7218,0.43,0.1397
XGB_XGB,Delta,24.5202,13.5326,10.3232,6.7249,0.3446,0.1619
LGBM_LGBM,Delta,24.851,13.5023,10.3006,6.6246,0.3123,0.1809
RF_RF,Delta,25.3333,14.2455,10.7788,7.126,0.312,0.1885
RF_XGB,Delta,25.4794,14.1254,10.99,7.2248,0.2959,0.1837
Logistic_RF,Delta,26.2236,13.641,11.5335,7.1125,0.2008,0.194
Logistic_XGB,Delta,26.4625,13.6825,11.6719,7.2222,0.1865,0.1845
XGB,Direct,27.2849,14.8925,11.2252,7.1597,0.2303,0.107
CatBoost,Direct,27.434,15.0894,11.2076,7.1812,0.225,0.1305
LGBM,Direct,27.4613,15.0245,11.3185,7.3125,0.2197,0.1167
RF,Direct,27.5022,15.1236,11.1955,7.1665,0.2225,0.128
ET,Direct,29.5984,16.38,12.726,8.2894,0.1039,0.1807
Huber,Direct,36.0243,21.0525,15.3944,10.4906,-0.2783,0.2695
